movie_id,character,actor
14689,Jerusha Bromley,Julie Andrews
14689,Rev. Abner Hale,Max von Sydow
14689,Capt. Rafer Hoxworth,Richard Harris
14689,Dr. John Whipple,Gene Hackman
14689,Charles Bromley,Carroll O'Connor
14689,Malama Kanakoa - the Ali'i Nui,Jocelyne LaGarde
14689,Keoki,Manu Tupou
14689,Kelolo,Ted Nobriga
14689,Noelani,Elizabeth Logue
14689,Rev. Immanuel Quigley,John Cullum
396,Martha,Elizabeth Taylor
396,George,Richard Burton
396,Nick,George Segal
396,Honey,Sandy Dennis
396,Roadhouse Waitress (uncredited),Agnes Flanagan
396,Roadhouse Manager (uncredited),Frank Flanagan
874,Thomas Morus,Paul Scofield
874,Alice Morus,Wendy Hiller
874,Thomas Cromwell,Leo McKern
874,King Henry VIII,Robert Shaw
874,Cardinal Wolsey,Orson Welles
874,Margaret More,Susannah York
874,The Duke of Norfolk,Nigel Davenport
874,Richard Rich,John Hurt
874,William Roper (the Younger),Corin Redgrave
874,Matthew,Colin Blakely
5923,Jake Holman,Steve McQueen
5923,Frenchy Burgoyne,Richard Attenborough
5923,Captain Collins,Richard Crenna
5923,Shirley Eckert,Candice Bergen
5923,Maily,Emmanuelle Arsan
5923,Po-han,Mako
5923,Jameson,Larry Gates
5923,Ensign Bordelles,Charles Robinson
5923,Stawski,Simon Oakland
5923,Harris,Ford Rainey
21779,Matt Helm,Dean Martin
21779,Gail,Stella Stevens
21779,Tina,Daliah Lavi
21779,Tung-Tze,Victor Buono
21779,Joe Wigman,Arthur O'Connell
21779,Sam Gunther,Robert Webber
21779,MacDonald,James Gregory
21779,Barbara,Nancy Kovack
21779,Sarita,Cyd Charisse
5780,Michael Armstrong,Paul Newman
5780,Sarah Sherman,Julie Andrews
5780,Countess Kuchinska,Lila Kedrova
5780,Heinrich Gerhard,Hansjörg Felmy
5780,Ballerina,Tamara Toumanova
5780,Hermann Gromek,Wolfgang Kieling
5780,Gustav Lindt,Ludwig Donath
5780,Dr. Koska,Gisela Fischer
5780,Karl Manfred,Günter Strack
5780,Farmer,Mort Mills
2161,Grant,Stephen Boyd
2161,Cora,Raquel Welch
2161,Gen. Carter,Edmond O'Brien
2161,Dr. Michaels,Donald Pleasence
2161,Col. Donald Reid,Arthur O'Connell
2161,Cap. Bill Owens,William Redfield
2161,Dr. Duval,Arthur Kennedy
2161,Jan Benes,Jean Del Val
2161,Communications Aide,Barry Coe
2161,Secret Service,Ken Scott
26268,Lew Harper,Paul Newman
26268,Mrs. Sampson,Lauren Bacall
26268,Betty Fraley,Julie Harris
26268,Albert Graves,Arthur Hill
26268,Susan Harper,Janet Leigh
26268,Miranda Sampson,Pamela Tiffin
26268,Allan Taggert,Robert Wagner
26268,Dwight Troy,Robert Webber
26268,Fay Estabrook,Shelley Winters
26268,Sheriff,Harold Gould
429,Tuco,Eli Wallach
429,Blondie,Clint Eastwood
429,Sentenza/Angel Eyes,Lee Van Cleef
429,Alcoholic Union Captain,Aldo Giuffrè
429,Father Pablo Ramirez,Luigi Pistilli
429,Maria,Rada Rassimov
429,Sheriff,John Bartha
429,Baker,Livio Lorenzon
429,Jackson/Bill Carson,Antonio Casale
429,Monk,Angelo Novi
6644,Cole Thornton,John Wayne
6644,Sheriff J.P. Harrah,Robert Mitchum
6644,Mississippi,James Caan
