adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/8N14q1XanN3LN8ahGYsrhS0NQFQ.jpg,"[18, 12, 10749]",14689,en,Hawaii,"Abner Hale, a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding there comes tragedy.",1.208384,/10AVx4V6zVszw75VGC0VCvVfRe4.jpg,10/10/1966,Hawaii,FALSE,5.8,13
FALSE,/u7unQwnv8olv8EofKFlhxlUakOJ.jpg,[18],396,en,Who's Afraid of Virginia Woolf?,Mike Nichols’ film from Edward Albee's play brought new themes to the film industry. Elizabeth Taylor and Richard Burton have never been more brilliant together as they portray an experienced married couple who love each other yet verbally attack one another when they see how boring their naïve newlywed guests have made their night.,1.534183,/meHvC3nTKd2jE4oSytADtGjR09l.jpg,6/21/1966,Who's Afraid of Virginia Woolf?,FALSE,7.8,167
FALSE,/ivssZ1NdLhovWIEUgi9wN69dR3s.jpg,"[18, 36]",874,en,A Man for All Seasons,A Man for All Seasons is the filmed version of the life of Thomas More. An English man comes to Sir Thomas More to ask if he can divorce his wife since King Henry VIII has made it illegal. Sir Thomas More stands up in opposition to the King even though he knows he’s risking his own life. An award winning film from 1966.,2.092967,/mLFfDCdSH6wetMIIbG08hg51PbD.jpg,12/12/1966,A Man for All Seasons,FALSE,7.5,74
FALSE,/vOddAD7yWumFnQISLwFNyjHJ3EP.jpg,"[28, 12, 18, 10752, 10749]",5923,en,The Sand Pebbles,"Engineer Jake Holman arrives aboard the gunboat U.S.S. San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the ""rice-bowl"" system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat's presence reaches a climax when the boat must crash through a river-boom and rescue missionaries upriver at China Light Mission.",1.808793,/1X1d30OaJE87iqCGjNaNCeRUP7R.jpg,12/20/1966,The Sand Pebbles,FALSE,7.2,50
FALSE,/96JE9fN60EjjvfLiUwaOPNOw9zn.jpg,"[28, 35, 53]",21779,en,The Silencers,"Matt Helm (Dean Martin) is called out of retirement to stop the evil Big O organization who plan to explode an atomic bomb over Alamagordo, NM, and start WW III.",1.270367,/4B1z2rhVLLU2VKFFZfRsJVfrnHt.jpg,2/18/1966,The Silencers,FALSE,6.5,17
FALSE,/w4t3YpCg2tGzOmbWQBVjyhDK9iN.jpg,"[9648, 53]",5780,en,Torn Curtain,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin and then figuring out a plan to escape back to the West.,1.412932,/brxgX9qYkH2neAygTiok7SIlo3v.jpg,7/13/1966,Torn Curtain,FALSE,6.4,100
FALSE,/mzoj3fsvm7HbP8m8YatFqqXjepZ.jpg,"[12, 878]",2161,en,Fantastic Voyage,"The science of miniaturization has been unlocked, and the army has big plans. But when a scientist carrying the secret of the process is injured in a surprise attack, a life-threatening blood clot puts him into a coma. Now, a team of adventurers will have to use the technology to travel inside his body and destroy the clot.",1.792848,/hZRYghurxiVXzkSe0JLtfIaOwM0.jpg,8/24/1966,Fantastic Voyage,FALSE,6.7,89
FALSE,/lSjWDLe8KwU731Bhs1TAwA7agGH.jpg,"[28, 18, 53, 80, 9648]",26268,en,Harper,"Harper is a cynical private eye in the best tradition of Bogart. He even has Bogie's Baby hiring him to find her missing husband, getting involved along the way with an assortment of unsavory characters and an illegal-alien smuggling ring.",1.330759,/2zjrCMOmo1uMTyhK5udKukraxd4.jpg,2/23/1966,Harper,FALSE,6.3,30
FALSE,/xGC2fY5KFmtuXnsuQwYQKFOLZFy.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",4.932377,/wfPHdfofBD5PN96dV96a51B3Ja2.jpg,12/23/1966,"The Good, the Bad and the Ugly",FALSE,8.1,1952
FALSE,/1PODaFULjnsbkgirmFfm9i0cJB1.jpg,"[28, 37]",6644,en,El Dorado,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",1.775797,/jnbUOe6dAXK4Hs6dhYgvmdr5CbO.jpg,12/17/1966,El Dorado,FALSE,7,81
FALSE,/86A7oAiaUGyWKHUzOevmftkGf5.jpg,"[12, 35]",23832,it,L'armata Brancaleone,"A group of rogues steal a scroll granting its bearer the property of the land of Aurocastro in Apulia (south of Italy). They elect a shaggy knight, Brancaleone from Norcia, as their leader, and decide to get possession of this supposedly wealthy land. Many adventures will occurr during the journey.",1.136665,/qe3UJj6MuTNmJh65hd9NPis8ViT.jpg,4/7/1966,For Love and Gold,FALSE,7.2,21
