,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character0,character1,character2
0,False,/8N14q1XanN3LN8ahGYsrhS0NQFQ.jpg,"[18, 12, 10749]",14689,en,Hawaii,"Abner Hale, a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding there comes tragedy.",1.395569,/10AVx4V6zVszw75VGC0VCvVfRe4.jpg,1966-10-10,Hawaii,False,4.57,7,Jerusha Bromley,Rev. Abner Hale,Capt. Rafer Hoxworth
1,False,/u7unQwnv8olv8EofKFlhxlUakOJ.jpg,[18],396,en,Who's Afraid of Virginia Woolf?,Mike Nichols’ film from Edward Albee's play brought new themes to the film industry. Elizabeth Taylor and Richard Burton have never been more brilliant together as they portray an experienced married couple who love each other yet verbally attack one another when they see how boring their naïve newlywed guests have made their night.,1.788096,/qBiQzPZgr4dSgw9VdgR9o5UjHB1.jpg,1966-06-21,Who's Afraid of Virginia Woolf?,False,7.42,66,Martha,George,Nick
2,False,/vOddAD7yWumFnQISLwFNyjHJ3EP.jpg,"[28, 12, 18, 10752, 10749]",5923,en,The Sand Pebbles,"Engineer Jake Holman arrives aboard the gunboat U.S.S. San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the ""rice-bowl"" system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat's presence reaches a climax when the boat must crash through a river-boom and rescue missionaries upriver at China Light Mission.",1.355208,/1X1d30OaJE87iqCGjNaNCeRUP7R.jpg,1966-12-20,The Sand Pebbles,False,6.92,24,Jake Holman,Frenchy Burgoyne,Captain Collins
3,False,/96JE9fN60EjjvfLiUwaOPNOw9zn.jpg,"[28, 35, 53]",21779,en,The Silencers,"Matt Helm (Dean Martin) is called out of retirement to stop the evil Big O organization who plan to explode an atomic bomb over Alamagordo, NM, and start WW III.",1.154493,/4B1z2rhVLLU2VKFFZfRsJVfrnHt.jpg,1966-02-18,The Silencers,False,5.58,6,Matt Helm,Gail,Tina
4,False,/w4t3YpCg2tGzOmbWQBVjyhDK9iN.jpg,"[9648, 53]",5780,en,Torn Curtain,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin and then figuring out a plan to escape back to the West.,2.309785,/1sza0VpdnBkIvOhkDu9kdsRUTg3.jpg,1966-07-13,Torn Curtain,False,6.28,44,Michael Armstrong,Sarah Sherman,Countess Kuchinska
5,False,/mzoj3fsvm7HbP8m8YatFqqXjepZ.jpg,"[12, 878]",2161,en,Fantastic Voyage,"The science of miniaturization has been unlocked, and the army has big plans. But when a scientist carrying the secret of the process is injured in a surprise attack, a life-threatening blood clot puts him into a coma. Now, a team of adventurers will have to use the technology to travel inside his body and destroy the clot.",1.699309,/hZRYghurxiVXzkSe0JLtfIaOwM0.jpg,1966-08-24,Fantastic Voyage,False,6.63,38,Grant,Cora,Gen. Carter
6,False,/xGC2fY5KFmtuXnsuQwYQKFOLZFy.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",3.465483,/wfPHdfofBD5PN96dV96a51B3Ja2.jpg,1966-12-23,"The Good, the Bad and the Ugly",False,7.82,1401,Tuco,Blondin,Sentenza/Angel Eyes
7,False,/1PODaFULjnsbkgirmFfm9i0cJB1.jpg,"[28, 37]",6644,en,El Dorado,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",1.765849,/jnbUOe6dAXK4Hs6dhYgvmdr5CbO.jpg,1966-12-17,El Dorado,False,7.16,34,Cole Thornton,Sheriff J.P. Harrah,Mississippi
8,False,/86A7oAiaUGyWKHUzOevmftkGf5.jpg,"[12, 35]",23832,it,L'armata Brancaleone,"A group of rogues steal a scroll granting its bearer the property of the land of Aurocastro in Apulia (south of Italy). They elect a shaggy knight, Brancaleone from Norcia, as their leader, and decide to get possession of this supposedly wealthy land. Many adventures will occurr during the journey.",1.057373,/qe3UJj6MuTNmJh65hd9NPis8ViT.jpg,1966-04-07,For Love and Gold,False,5.88,12,Brancaleone da Norcia,Teofilatto dei Leonzi,Matelda
9,False,/j9TWVrd0BHUfk9AuSFnchgexY0A.jpg,"[18, 10752, 36]",17295,it,La battaglia di Algeri,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,1.988648,/6Kv3n1cgiEAEYF4wepECk1OeH7N.jpg,1966-09-08,The Battle of Algiers,False,7.38,75,Ali La Pointe,Col. Mathieu,Djafar
10,False,,"[16, 99, 10751, 14]",289179,en,How the Grinch Stole Christmas!: Documentary,"The Making of the story of how A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.  You're A Mean One, Mr. Grinch.  Bitter and hateful, the Grinch is irritated at the thought of the nearby village having a happy time celebrating Christmas. So disguised as Santa Claus, with his dog made to look like a reindeer, he raids the village to steal all the Christmas things. The village is sure to have a sad Christmas this year.",1.000387,/1hmUmJiu8ioBvF9mq4g1OQzNZSA.jpg,1966-01-01,How the Grinch Stole Christmas! Documentary,False,0.0,0,,Commentator,Comentator 2
11,False,/czwpcXwUVGo7GKx85KF6MgqmOrX.jpg,[18],20108,fr,Au hasard Balthazar,"The sad life and death of Balthazar, a donkey, from an idyllic childhood surrounded by loving children, through adulthood as a downtrodden beast of burden. His life is paralleled with that of the girl who named him, and as she is humiliated by her sadistic lover, so he is beaten by his owner. But he finds a kind of peace when he is employed by an old miller who thinks he is a reincarnated saint.",1.331289,/wGpLTTOHJXlnbArj3X4ZCWF64c5.jpg,1966-05-25,Au hasard Balthazar,False,6.92,30,Marie,Jacques,Gérard
12,False,/G2xoqLeafIpXByTfw9qucM6E20.jpg,"[28, 37]",10772,it,Django,"Django is a 1966 Italian spaghetti Western film directed by Sergio Corbucci and starring Franco Nero in the eponymous role. The film earned a reputation as being one of the most violent films ever made up to that point and was subsequently refused a certificate in Britain until 1993, when it was eventually issued an 18 certificate. Subsequent to this the film was downgraded to a 15 certificate in 2004. Although the name is referenced in over thirty ""sequels"" from the time of the film's release until the mid 1980s in an effort to capitalize on the success of the original, none of these films were official, featuring neither Corbucci nor Nero. Nero did reprise his role as Django in 1987's Django 2: Il Grande Ritorno (Django Strikes Again), in the only official sequel to be written by Corbucci.",2.172387,/7YCMQ6ybiSv67EJJ1cb2Q1WKX4T.jpg,1966-04-05,Django,False,6.81,67,Django,Gen. Hugo Rodriguez,Maria
13,False,/azU9CYPwYrP5VXUCaFPpMpZxrQY.jpg,[],1686,en,Chelsea Girls,"Lacking a formal narrative, Warhol's art house classic follows various residents of the Chelsea Hotel in 1966 New York City, presented in a split screen with a single audio track in conjunction with one side of screen.",1.01823,/bTyALg0Ko7GfwEH2ZiDUr4cJqc.jpg,1966-09-15,Chelsea Girls,False,4.0,1,,Brigid Berlin - The Duchess,Hanoi Hannah
14,False,/9DBa6qJgR7ACvXHK1C8HA3WsSH1.jpg,"[28, 12, 14]",3591,en,One Million Years B.C.,"As the Earth wrestles with its agonising birth, the peoples of this barren and desolate world struggle to survive. Driven by animal instinct they compete against the harsh conditions, their giant predators, and warring tribes. When two people from opposing clans fall in love, existing conventions are shattered forever as each tribe struggles for supremacy and Man embarks on his tortuous voyage of civilisation.",2.062826,/bcXo4fWv3jquSnu0VI8PA2cf1xe.jpg,1966-12-30,One Million Years B.C.,False,5.59,17,Loana,Tumak,Sakana
